,0,1,2
absorb,0.0,0.0,0.000475
according,0.0,0.000478,0.0
accountant,0.0,0.000478,0.0
accurately,0.000473,0.0,0.0
achieve,0.0,0.000478,0.0
actiwatch,0.000473,0.0,0.0
actually,0.000473,0.0,0.0
acute,0.0,0.000478,0.0
adaptive,0.000473,0.0,0.0
add,0.000473,0.0,0.0
added,0.000473,0.0,0.0
addition,0.0,0.000478,0.0
additional,0.0,0.001434,0.0
additionally,0.0,0.000478,0.0
adult,0.000473,0.0,0.0
aeon,0.0,0.0,0.000475
africa,0.000473,0.0,0.0
age,0.0,0.000956,0.0
ago,0.000473,0.0,0.0
agreed,0.0,0.0,0.000475
agrees,0.000473,0.0,0.0
alexander,0.0,0.0,0.000475
aligned,0.0,0.000478,0.0
allow,0.0,0.000478,0.0
amazing,0.000473,0.0,0.0
america,0.000473,0.0,0.0
amid,0.0,0.000956,0.0
analysis,0.000473,0.000478,0.0
ancestor,0.002841,0.0,0.0
ancient,0.001894,0.0,0.000475
angeles,0.000473,0.0,0.0
animal,0.004261,0.0,0.0
anneke,0.0,0.0,0.001425
annual,0.000473,0.0,0.0
anthropologist,0.00142,0.0,0.0
anthropology,0.000473,0.0,0.0
ape,0.001894,0.0,0.0
apparent,0.0,0.0,0.00095
appear,0.0,0.000478,0.0
appears,0.0,0.0,0.000475
approach,0.0,0.0,0.000475
appropriate,0.0,0.0,0.000475
arboreal,0.000473,0.0,0.0
arctic,0.0,0.0,0.004751
argues,0.0,0.000478,0.0
army,0.0,0.0,0.000475
arrived,0.0,0.0,0.00095
artic,0.0,0.0,0.000475
asana,0.0,0.000956,0.0
asked,0.000473,0.0,0.0
asleep,0.00142,0.0,0.0
aspect,0.000473,0.0,0.0
assessed,0.000473,0.0,0.0
assistant,0.0,0.000478,0.0
associated,0.000473,0.0,0.0
assuming,0.000473,0.0,0.0
attached,0.000473,0.0,0.0
attention,0.000473,0.000478,0.0
attitude,0.0,0.000478,0.0
audit,0.0,0.000478,0.0
average,0.00142,0.000478,0.0
averaged,0.000473,0.0,0.0
awake,0.001894,0.0,0.0
awareness,0.0,0.000478,0.0
away,0.000947,0.0,0.000475
awoke,0.000473,0.0,0.0
bad,0.0,0.000478,0.0
balance,0.0,0.000478,0.0
band,0.000473,0.0,0.0
bare,0.0,0.0,0.000475
based,0.000947,0.0,0.0
basically,0.000473,0.0,0.0
battle,0.0,0.0,0.00095
beautiful,0.0,0.0,0.002375
beauty,0.0,0.0,0.00095
bed,0.001894,0.000478,0.0
began,0.000473,0.000478,0.00095
begin,0.0,0.0,0.000475
beginning,0.0,0.0,0.000475
belfast,0.000473,0.0,0.0
belief,0.0,0.001434,0.0
believe,0.0,0.0,0.00095
believing,0.0,0.0,0.000475
bend,0.000473,0.0,0.0
beset,0.0,0.0,0.000475
best,0.000473,0.0,0.000475
better,0.00142,0.000478,0.000475
biphasic,0.000473,0.0,0.0
bird,0.000473,0.0,0.0
blessed,0.0,0.0,0.000475
blocked,0.0,0.0,0.00095
blue,0.0,0.0,0.00095
boat,0.0,0.0,0.000475
body,0.000473,0.0,0.00095
bodø,0.0,0.0,0.00095
bolivia,0.000473,0.0,0.0
boomer,0.0,0.000478,0.0
border,0.0,0.0,0.000475
