,0,1,2
absorb,0.0,0.0,0.000813
according,0.0,0.000806,0.0
accountant,0.0,0.000806,0.0
accurately,0.00079,0.0,0.0
achieve,0.0,0.000806,0.0
across,0.0,0.0,0.0
actiwatch,0.00079,0.0,0.0
actually,0.00079,0.0,0.0
acute,0.0,0.000806,0.0
adaptive,0.00079,0.0,0.0
add,0.00079,0.0,0.0
added,0.00079,0.0,0.0
addition,0.0,0.000806,0.0
additional,0.0,0.002418,0.0
additionally,0.0,0.000806,0.0
adult,0.00079,0.0,0.0
aeon,0.0,0.0,0.000813
africa,0.00079,0.0,0.0
age,0.0,0.001612,0.0
ago,0.00079,0.0,0.0
agreed,0.0,0.0,0.000813
agrees,0.00079,0.0,0.0
alexander,0.0,0.0,0.000813
aligned,0.0,0.000806,0.0
allow,0.0,0.000806,0.0
almost,0.0,0.0,0.0
alone,0.00079,0.0,0.0
along,0.0,0.0,0.005692
already,0.0,0.0,0.0
also,0.0,0.0,0.0
although,0.0,0.0,0.0
always,0.0,0.000806,0.0
amazing,0.00079,0.0,0.0
america,0.00079,0.0,0.0
amid,0.0,0.001612,0.0
among,0.000583,0.000892,0.0
amount,0.00237,0.0,0.0
analysis,0.000292,0.000298,0.0
ancestor,0.004738,0.0,0.0
ancient,0.001166,0.0,0.0003
angeles,0.00079,0.0,0.0
animal,0.007108,0.0,0.0
anneke,0.0,0.0,0.00244
annual,0.00079,0.0,0.0
another,0.0,0.0,0.0
anthropologist,0.00237,0.0,0.0
anthropology,0.00079,0.0,0.0
anything,0.0,0.001612,0.0
ape,0.00316,0.0,0.0
apparent,0.0,0.0,0.001626
appear,0.0,0.000806,0.0
appears,0.0,0.0,0.000813
approach,0.0,0.0,0.000813
appropriate,0.0,0.0,0.000813
arboreal,0.00079,0.0,0.0
arctic,0.0,0.0,0.008132
argues,0.0,0.000806,0.0
army,0.0,0.0,0.000813
around,0.0,0.0,0.0
arrived,0.0,0.0,0.001626
artic,0.0,0.0,0.000813
asana,0.0,0.001612,0.0
asked,0.00079,0.0,0.0
asleep,0.00237,0.0,0.0
aspect,0.00079,0.0,0.0
assessed,0.00079,0.0,0.0
assistant,0.0,0.000806,0.0
associated,0.00079,0.0,0.0
assuming,0.00079,0.0,0.0
attached,0.00079,0.0,0.0
attention,0.000292,0.000298,0.0
