,date,content
0,2022-05-27 13:48:50+00:00,@ExposingPoland to brzmi jak piosenki dla dzieci z seriali disney channel 😂
1,2022-05-27 08:46:23+00:00,"@Fifi_z_Rivii @Disney To dziś usuwam tweetera
będę się delektować obi wanem sam w zaciszu"
2,2022-05-27 06:34:06+00:00,"I wonder how the've messed it up. And who the main protagonist is, since white male can never be a star of today's Disney show... https://t.co/ZMEORqekEt"
3,2022-05-27 06:25:07+00:00,"@araszperskibard Disney to schrzani. Jak większość marek dzisiaj. Zepsuli SW, MCU, zniszczą Daredevila.
Szczerze, to myślałem, że udostępniasz trailer gry o inkwizytorze z uniwersum Jacka Piekary. Ale Disney? Blech."
4,2022-05-26 22:28:54+00:00,"To byłaby bardzo dobra wiadomość dla Marvela. Jessica Jones to, moim zdaniem, najlepszy serial z tych, które Marvel dał na Netflixa przed powstaniem Disney+ (czyli również Daredevil, Luke Cage, Punisher, Iron Fist i Defenders). https://t.co/eDyf5kQlW1"
5,2022-05-26 19:36:00+00:00,"@Fifi_z_Rivii Większość roboty zrobił Favreau, nie oszukujmy się.
Waititi zrobił dobry final, jak najbardziej, ale większość dobrej roboty odwalił Favreau.
Sezon 1 mando dalej pozostaje najlepszym serialem na disney+"
6,2022-05-26 18:45:51+00:00,"@KGorniewski @Cosmic616 No, ten, patrzymy na najprawdopodobniej  najlepszy serial disney+ oraz na najlepszą produkcje sw."
7,2022-05-26 18:43:01+00:00,"So, this is going to be one from best disney+ shows to be ever made?
Teaser looks dope, I can't wait for whole show https://t.co/Dm84VvhjdY"
8,2022-05-26 12:33:08+00:00,"Serial #Kenobi teoretycznie powinien mieć przed premierą dużo większy hype niż np. @themandalorian. Mam nadzieję, że Disney nie zawiedzie, bo w tym przypadku poprzeczka jest znacznie wyżej. #ObiWan #DarthVader @obiwankenobi 
https://t.co/eSfg6cJuvo"
9,2022-05-26 09:24:12+00:00,"@Cosmic616 @fibox_kramar ukradnijmy Fagate, weźmy kredyt i kupmy prawa do szturmowca z sw
Potem zrobimy film stormotrooper który zarobi kupę kasy, fagata spłaci kredyt z onlyfans a my potem kupimy Lucasfilm i prawa do smerfów
Jeszcze będziemy zarabiać bo disney będzie potrzebował szturmowców do mando"
10,2022-05-23 19:07:47+00:00,@KGorniewski @Fifi_z_Rivii @ravreelm @RemindMe_OfThis Disney nie zjeb bo nie będziecie mieć kontentu
11,2022-05-23 19:00:31+00:00,"@Fifi_z_Rivii @ravreelm A mnie nie. Nie dopuszczam do siebie wizji że to zjebia. Kochałem opowieści o obi wanie z legend między 3 a 4 epizodem. Wierze, że disney zrobił dobry serial. Po prostu w to wierzę. Nie niszcz moich uczuć religijnych"
12,2022-05-22 15:13:31+00:00,@ashijk_ @Disney_fan2022_ @RqineErq @miloscdohange @vxxxuo @straydeathnote @trashylivien @bailiffoffline @h3ejkatuja @Nifxji__ @ofstarlightborn o jestem tutaj
13,2022-05-21 10:04:31+00:00,"@fibox_kramar Ja niestety oglądam nielegalnie. Jestem ciekaw czy te filmy kiedykolwiek zagoszczą na Disney+ albo HBO max (prędzej stawiam na hbo max, netflix z góry odpada)"
14,2022-04-09 16:18:57+00:00,"Trzeba przyznać, że ""Coco"" od @Pixar ma w końcu mocnego konkurenta. ""Nasze magiczne Encanto"" lub po prostu ""#Encanto"" od @Disney to naprawdę udana animacja (może dlatego, że bardzo podobna do tej pixarowej). ""Klaus"" od @netflix również może się równać!"
15,2022-03-21 21:44:50+00:00,@agirtmisfeyza Ablama taşınmak için sebebim olur aslında. Disney var onlarda star wars'ın yeni dizisini izlerim 🥲
16,2022-03-10 22:01:00+00:00,"Disney zawiesza działalność w Rosji, decyzja wpłynie na wydanie i produkcję nowych produktów, licencjonowanie, magazyn National Geographic."
