,date,content
0,2022-01-01 23:58:34+00:00,once i went on a wattpd deep dive and ended up on a jack frost x elsa story where a bunch of disney and pixar and dreamworks characters went to something called a sex academy and just learned how to be sexy and have sex and elsa didnt want to be there but she stayed for anna and
1,2022-01-01 23:51:16+00:00,Now that we only have 112 Days until the release @Dreamworks #BadGuys and we are officially in 2022 worldwide... https://t.co/TouN7EYUsp
2,2022-01-01 23:46:06+00:00,"@PressStartLock Yeah, by virtue of being too online back in the 00's, an silly level of access was afforded to me. From '03-'09 I got piles of free DVDs, press badges, appearances on Spike, G4 &amp; 1up, interviews with major US anime company execs, studio tours of DreamWorks &amp; AKA Cartoon &amp; more."
3,2022-01-01 23:45:52+00:00,@samisverycool1 Dreamworks face because you are mean :( https://t.co/eW0pd6Nx3f
4,2022-01-01 23:39:05+00:00,dreamworks ritsu
5,2022-01-01 23:35:16+00:00,@fandomtingz_ I almost forgot rise of the guardians was a dreamworks movie and was like “why is dragons in there”
6,2022-01-01 23:28:50+00:00,"When they were younger I learned to enjoy Disney &amp; Dreamworks
Today it’s Marvel
After 5 days of catching up on ALL the Spider Man movies this trio enjoyed time together

Sharing what they enjoy is the best part of parenting❤️🎉
p.s. None of agree on which Spidey was/is best https://t.co/nhdqrEFDo2"
7,2022-01-01 23:25:53+00:00,@wavering_ghost Omg like in the hit movie How to Train Your Dragon by Dreamworks?
8,2022-01-01 23:21:24+00:00,@RaineDraa @Dreamworks A mini series just like the rebel princess recruitment would be so perfect😭😭
9,2022-01-01 22:38:39+00:00,"@Dreamworks #larrikins 
Dreamworks: Uncancel DreamWorks Larrikins - Sign the Petition! https://t.co/yayPjsrI4U via @Change"
10,2022-01-01 22:35:11+00:00,"Check out this listing I just added to my #Poshmark closet: Dreamworks Trolls TALKING POPPY Plush 12"" Talkin' Troll Doll B7772 Hasbro 2015. https://t.co/0L7N11NsyW #shopmycloset @poshmarkapp"
11,2022-01-01 22:20:34+00:00,dreamworks be making sexy as hell characters
12,2022-01-01 22:08:21+00:00,"The Time is Frozen page 103 DwtF
Fan comic based on 
@Dreamworks
#riseoftheguardians  

Read the rest of the comic here: https://t.co/PGz0HLNMWo

or insta: https://t.co/QRGhe9Da6D https://t.co/pimt3l5gkx"
13,2022-01-01 21:51:33+00:00,@SocietyofMMM Shrek 3. It's the most forgettable DreamWorks movie ever.
14,2022-01-01 21:49:33+00:00,@Dreamworks HMMMMMMMMMMMM SAY IT DW https://t.co/SEcp2a3ZXx
15,2022-01-01 21:44:04+00:00,"phil collins and elton john were not given enough musical projects visa vi disney, dreamworks, etc. 

i demand more"
16,2022-01-01 21:42:07+00:00,"@Dreamworks really did their thing with Prince of Egypt and Joseph King of Dreams. The animation, the soundtracks, the feels!! Can we please get some more Biblical animated movies in this new year? 😭😭"
17,2022-01-01 21:32:50+00:00,@md20705 Where would you put it on your favourite Dreamworks movies list?
18,2022-01-01 21:31:08+00:00,"drew this when the trailer first dropped 🐍 although i haven't read a book from the bad guys series i had considered reading it for several years &amp; always thought the idea of it was pretty cool. can't wait for this movie bc i know i'm gonna love it already
#thebadguys #dreamworks https://t.co/eZSrnWEcmI"
19,2022-01-01 21:20:41+00:00,TENDIESSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS @dreamworks
20,2022-01-01 21:19:15+00:00,📷 DreamWorks Logo - #OverTheHedge2006 #OverTheHedgeMovie #OverTheHedge on #Nickelodeon and #YTV (en Dreamworks Animation) https://t.co/ggUkgaDxBY https://t.co/cxHzSPUGsF
21,2022-01-01 21:19:14+00:00,DreamWorks Logo - #OverTheHedge2006 #OverTheHedgeMovie #OverTheHedge on #Nickelodeon and #YTV en Dreamworks Animation https://t.co/EYFq94uMbl
22,2022-01-01 21:18:09+00:00,📷 DREAMWORKS presents - Over The Hedge - #OverTheHedge2006 #OverTheHedgeMovie #OverTheHedge on #Nickelodeon and #YTV (en Dreamworks Animation) https://t.co/BYneNVjxL4 https://t.co/9bWfauHgQ1
23,2022-01-01 21:18:08+00:00,DREAMWORKS presents - Over The Hedge - #OverTheHedge2006 #OverTheHedgeMovie #OverTheHedge on #Nickelodeon and #YTV en Dreamworks Animation https://t.co/x6r8tB0563
24,2022-01-01 21:09:07+00:00,I’ve been thinking about this for a long time (like a LONG time) and I need to know. @Dreamworks in #Shrek2 when donkey and Shrek take the happily ever potion it changes their loved ones too…so what does dragon turn into??
25,2022-01-01 21:07:07+00:00,@AntnioMalavolt1 @AnimationFan15 And DreamWorks is also releasing Puss in Boots 2 this year.
26,2022-01-01 21:05:07+00:00,📷 DreamWorks Animation Logo - #WallaceandGromitTheCurseofTheWereRabbit2005 #WallaceandGromitTheCurseofTheWereRabbitMovie #WallaceandGromitTheCurseofTheWereRabbit on #Nickelodeon and #YTV (en Dreamworks Animation)... https://t.co/sieO59AqKl
27,2022-01-01 21:01:48+00:00,DreamWorks Animation Logo - #WallaceandGromitTheCurseofTheWereRabbit2005 #WallaceandGromitTheCurseofTheWereRabbitMovie #WallaceandGromitTheCurseofTheWereRabbit on #Nickelodeon and #YTV en Dreamworks Animation https://t.co/OJxi6gx7rH
28,2022-01-01 20:51:35+00:00,📷 DREAMWORKS ANIMATION and AARDMAN FEATURES present - Wallace &amp; Gromit: The Curse of The Were-Rabbit - #WallaceandGromitTheCurseofTheWereRabbit2005 #WallaceandGromitTheCurseofTheWereRabbitMovie #WallaceandGromitTheCurseofTheWereRabbit on... https://t.co/CdGifH8koF
29,2022-01-01 20:46:43+00:00,"@Kylefitz2006 I like Shark Tale too, but it's not my favorite DreamWorks movie."
30,2022-01-01 20:46:06+00:00,📷 PDI/DreamWorks Logo - #Madagascar2005 #MadagascarMovie #Madagascar on #Nickelodeon and #YTV (en PDI) https://t.co/6LFEPCVnKx https://t.co/SV5SzAGRdy
31,2022-01-01 20:46:05+00:00,PDI/DreamWorks Logo - #Madagascar2005 #MadagascarMovie #Madagascar on #Nickelodeon and #YTV en PDI https://t.co/aLNJXlTMfq
32,2022-01-01 20:45:10+00:00,SHARK TALE IS MY FAVOURITE DREAMWORKS MOVIE! https://t.co/jlVr3wU2aF
33,2022-01-01 20:42:13+00:00,@samisverycool1 Dreamworks face https://t.co/NpnPpY2V0N
34,2022-01-01 20:41:38+00:00,📷 DreamWorks Animation Logo - #Madagascar2005 #MadagascarMovie #Madagascar on #Nickelodeon and #YTV (en Dreamworks Animation) https://t.co/lb6hx5ookd https://t.co/e5A22OhZRu
35,2022-01-01 20:41:37+00:00,DreamWorks Animation Logo - #Madagascar2005 #MadagascarMovie #Madagascar on #Nickelodeon and #YTV en Dreamworks Animation https://t.co/KENmOA1whr
36,2022-01-01 20:41:31+00:00,@gorgeyadora @KeshmarCurls Thank you N.D Stevenson and everyone at dreamworks for giving us She Ra!!!!!!
37,2022-01-01 20:39:40+00:00,📷 DREAMWORKS ANIMATION presents - a PDI/DREAMWORKS production - Madagascar - #TomMcGrath &amp; #EricDarnell #Madagascar2005 #MadagascarMovie #Madagascar on #Nickelodeon and #YTV (en Dreamworks Animation)... https://t.co/Ky2zFAHeT5
38,2022-01-01 20:39:38+00:00,DREAMWORKS ANIMATION presents - a PDI/DREAMWORKS production - Madagascar - #TomMcGrath &amp; #EricDarnell #Madagascar2005 #MadagascarMovie #Madagascar on #Nickelodeon and #YTV en Dreamworks Animation https://t.co/tfYH4L0zi4
39,2022-01-01 20:38:16+00:00,@samisverycool1 Dreamworks face https://t.co/2Ie9MoVBZw
40,2022-01-01 20:36:37+00:00,📷 PDI/DreamWorks Logo - #SharkTale2004 #SharkTaleMovie on #CartoonNetwork and #YTV (en PDI) https://t.co/jFqduCFrll https://t.co/GZBhpo3DYd
41,2022-01-01 20:36:37+00:00,PDI/DreamWorks Logo - #SharkTale2004 #SharkTaleMovie on #CartoonNetwork and #YTV en PDI https://t.co/YIE4NLAxnk
42,2022-01-01 20:35:34+00:00,📷 DreamWorks Animation Logo - #SharkTale2004 #SharkTaleMovie on #CartoonNetwork and #YTV (en Dreamworks Animation) https://t.co/hRkb02OFWw https://t.co/SilFACdhVP
43,2022-01-01 20:35:33+00:00,DreamWorks Animation Logo - #SharkTale2004 #SharkTaleMovie on #CartoonNetwork and #YTV en Dreamworks Animation https://t.co/232jSoQume
44,2022-01-01 20:34:19+00:00,📷 DREAMWORKS ANIMATION presents - Shark Tale - #SharkTale2004 #SharkTaleMovie on #CartoonNetwork and #YTV (en Dreamworks Animation) https://t.co/QYrVvid2T3 https://t.co/fGKw58OyLB
45,2022-01-01 20:34:18+00:00,DREAMWORKS ANIMATION presents - Shark Tale - #SharkTale2004 #SharkTaleMovie on #CartoonNetwork and #YTV en Dreamworks Animation https://t.co/kdlpVrszsj
46,2022-01-01 20:34:15+00:00,@samisverycool1 Dreamworks face https://t.co/HiNgMI2tic
